"","Threat","Count","Rank"
"10","Fishing & harvesting aquatic resources",349,1
"15","Housing & urban areas",334,2
"3","Annual & perennial non-timber crops",307,3
"18","Invasive non-native/alien species",268,4
"1","Agricultural & forestry effluents",258,5
"20","Logging & wood harvesting",232,6
"28","Recreational activities",230,7
"17","Industrial & military effluents",222,8
"34","Tourism & recreation areas",219,9
"6","Domestic & urban waste water",214,10
"4","Commercial & industrial areas",212,11
"33","Temperature extremes",209,12
"31","Shipping lanes",207,13
"32","Storms & flooding",207,13
"2","Air-borne pollutants",202,15
"16","Hunting & trapping terrestrial animals",164,16
"19","Livestock farming & ranching",136,17
"9","Fire & fire suppression",68,18
"14","Habitat shifting & alteration",56,19
"38","Wood & pulp plantations",52,20
"5","Dams & water management/use",45,21
"22","Mining & quarrying",36,22
"13","Gathering terrestrial plants",35,23
"39","Work & other activities",32,24
"27","Problematic native species",30,25
"7","Droughts",28,26
"37","War Civil Unrest & Military Exercises",26,27
"24","Other ecosystem modifications",23,28
"30","Roads & railroads",20,29
"35","Utility & service lines",17,30
"23","Oil & gas drilling",9,31
"29","Renewable energy",8,32
"21","Marine & freshwater aquaculture",5,33
"8","Excess energy",3,34
"12","Garbage & solid waste",3,34
"25","Other impacts",3,34
"11","Flight paths",1,37
"26","Other threat",1,37
"36","Volcanoes",1,37
